No.,Tissue,Elevated_Gene_symbol,GO_BP,GO_MF,GO_CC,REACTOME,KEGG,BIOCARTA
226,Adrenal Gland,CARTPT,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
227,Adrenal Gland,DGKK,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
228,Adrenal Gland,GML,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
229,Adrenal Gland,CALY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
230,Adrenal Gland,DBH,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
231,Adrenal Gland,MRAP,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
232,Adrenal Gland,CELA1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
233,Adrenal Gland,DRD2,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
234,Adrenal Gland,DRGX,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
235,Adrenal Gland,GSTA1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
236,Adrenal Gland,KCNK9,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
237,Adrenal Gland,MC2R,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
238,Adrenal Gland,NOV,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
239,Adrenal Gland,NR0B1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
240,Adrenal Gland,NTRK1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
241,Adrenal Gland,ATP2B3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
242,Adrenal Gland,CHRNA3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
243,Adrenal Gland,CYP11A1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
244,Adrenal Gland,FAM166B,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
245,Adrenal Gland,FNDC9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
246,Adrenal Gland,PPP1R17,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
247,Adrenal Gland,RAB3C,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
248,Adrenal Gland,STAR,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
249,Adrenal Gland,C4B,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
250,Adrenal Gland,CHST6,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
251,Adrenal Gland,DNER,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
252,Adrenal Gland,FGF12,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
253,Adrenal Gland,KCNK2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
254,Adrenal Gland,NPY,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
255,Adrenal Gland,PNMA6F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
256,Adrenal Gland,PPM1E,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
257,Adrenal Gland,SCG2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
258,Adrenal Gland,CACNA1B,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
259,Adrenal Gland,CYP17A1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
260,Adrenal Gland,DLK1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
261,Adrenal Gland,DLX1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
262,Adrenal Gland,DPP10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
263,Adrenal Gland,FAM43B,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
264,Adrenal Gland,GRIK1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
